Sold Item:Lion Helm (ID:474) && [Type] == primalhelm && [Quality] == Magic && [Flag] == identified && [Defense] == 76 && [Durability] == 24 && [MaxDurability] == 35 && [Energy] == 2 && [Defense] == 210 && [Durability] == 24 && [MaxDurability] == 35, StashItem:false, ItemToID:false  (03:45:00)
Sold Item:Bastard Sword (ID:36) && [Type] == sword && [Quality] == Magic && [Flag] == identified && [Flag] == ethereal && [MinDamage] == 10 && [MaxDamage] == 28 && [SecondMinDamage] == 30 && [SecMaxDamage] == 42 && [AttackRate] == -10 && [Durability] == 41 && [MaxDurability] == 41 && [MinDamage] == 10 && [MaxDamage] == 28 && [SecondMinDamage] == 30 && [SecMaxDamage] == 42 && [AttackRate] == -10 && [Durability] == 41 && [MaxDurability] == 41 && [DemonDamagePercent] == 25 && [DemonAttackRating] == 28, StashItem:false, ItemToID:false  (05:18:50)
Sold Item:Wrist Sword (ID:190) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 34 && [MaxDamage] == 45 && [AttackRate] == 10 && [Durability] == 46 && [MaxDurability] == 56 && [MinDamage] == 34 && [MaxDamage] == 45 && [ColdMinDamage] == 8 && [ColdMaxDamage] == 36 && [ColdLength] == 6 && [AttackRate] == 10 && [Durability] == 46 && [MaxDurability] == 56 && [SingleSkill-Skilldragontail] == 3, StashItem:false, ItemToID:false  (05:26:00)
Sold Item:Francisca (ID:137) && [Type] == throwingaxe && [Quality] == Rare && [Flag] == identified && [MinDamage] == 11 && [MaxDamage] == 22 && [AttackRate] == -10 && [Quantity] == 94 && [Durability] == 12 && [MaxDurability] == 15 && [ThrowMinDamage] == 18 && [ThrowMaxDamage] == 33 && [AttackRating] == 13 && [MinDamage] == 32 && [MaxDamage] == 25 && [PoisonMinDamage] == 15 && [PoisonMaxDamage] == 15 && [PoisonLength] == 4 && [ManaLeech] == 7 && [AttackRate] == -10 && [Quantity] == 94 && [Durability] == 12 && [MaxDurability] == 15 && [ThrowMinDamage] == 41 && [ThrowMaxDamage] == 38 && [ExtraStack] == 77 && [PoisonCount] == 1, StashItem:false, ItemToID:false  (05:26:00)
Sold Item:Small Charm (ID:603) && [Quality] == Magic && [Flag] == identified && [GoldFind] == 5, StashItem:false, ItemToID:false  (05:26:01)
Sold Item:Jewel (ID:643) && [Type] == jewel && [Quality] == Magic && [Flag] == identified && [MaxDamage] == 4 && [SecMaxDamage] == 4 && [ThrowMaxDamage] == 4, StashItem:false, ItemToID:false  (05:36:56)
Sold Item:Two-Handed Sword (ID:33) && [Quality] == Magic && [Flag] == identified && [MinDamage] == 2 && [MaxDamage] == 9 && [SecondMinDamage] == 8 && [SecMaxDamage] == 17 && [Durability] == 74 && [MaxDurability] == 88 && [MinDamage] == 2 && [MaxDamage] == 9 && [SecondMinDamage] == 8 && [SecMaxDamage] == 17 && [Durability] == 74 && [MaxDurability] == 88 && [IncreasedAttackSpeed] == 10, StashItem:false, ItemToID:false  (05:40:33)
Sold Item:Battle Cestus (ID:192) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 36 && [MaxDamage] == 42 && [AttackRate] == 10 && [Durability] == 78 && [MaxDurability] == 144 && [MinDamage] == 36 && [MaxDamage] == 42 && [AttackRate] == 10 && [Durability] == 78 && [MaxDurability] == 144 && [IncreasedAttackSpeed] == 30 && [SingleSkill-Skilldragonflight] == 1 && [SingleSkill-Skillshadowmaster] == 2, StashItem:false, ItemToID:false  (05:40:34)
Sold Item:Wrist Blade (ID:176) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 5 && [MaxDamage] == 9 && [Durability] == 49 && [MaxDurability] == 52 && [MinDamage] == 5 && [MaxDamage] == 9 && [LifeLeech] == 4 && [Durability] == 49 && [MaxDurability] == 52, StashItem:false, ItemToID:false  (05:44:49)
Sold Item:Runic Talons (ID:194) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 24 && [MaxDamage] == 44 && [AttackRate] == 30 && [Durability] == 43 && [MaxDurability] == 69 && [MinDamage] == 24 && [MaxDamage] == 44 && [PoisonMinDamage] == 6 && [PoisonMaxDamage] == 6 && [PoisonLength] == 3 && [AttackRate] == 30 && [Durability] == 43 && [MaxDurability] == 69 && [SingleSkill-Skillbladeshield] == 1 && [PoisonCount] == 1, StashItem:false, ItemToID:false  (05:55:46)
Sold Item:Jewel (ID:643) && [Type] == jewel && [Quality] == Magic && [Flag] == identified && [LightningResist] == 9 && [HPRegen] == 3, StashItem:false, ItemToID:false  (05:55:46)
Sold Item:Hand Scythe (ID:185) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 16 && [MaxDamage] == 37 && [AttackRate] == 10 && [Durability] == 126 && [MaxDurability] == 144 && [MinDamage] == 16 && [MaxDamage] == 37 && [ColdMinDamage] == 1 && [ColdMaxDamage] == 4 && [ColdLength] == 3 && [AttackRate] == 10 && [Durability] == 126 && [MaxDurability] == 144, StashItem:false, ItemToID:false  (06:01:48)
Sold Item:Ataghan (ID:222) && [Type] == sword && [Quality] == Rare && [Flag] == identified && [MinDamage] == 26 && [MaxDamage] == 46 && [AttackRate] == 20 && [Durability] == 20 && [MaxDurability] == 22 && [AttackRating] == 91 && [MinDamage] == 37 && [MaxDamage] == 66 && [FireResist] == 30 && [PoisonMinDamage] == 6 && [PoisonMaxDamage] == 6 && [PoisonLength] == 3 && [AttackRate] == 20 && [Durability] == 20 && [MaxDurability] == 22 && [SkillOnHit] == 10 && [PoisonCount] == 1, StashItem:false, ItemToID:false  (06:07:46)
Sold Item:Hatchet Hands (ID:177) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 2 && [MaxDamage] == 15 && [AttackRate] == -10 && [Durability] == 72 && [MaxDurability] == 112 && [MinDamage] == 2 && [MaxDamage] == 20 && [AttackRate] == -10 && [Durability] == 72 && [MaxDurability] == 112, StashItem:false, ItemToID:false  (06:17:06)
Sold Item:Jewel (ID:643) && [Type] == jewel && [Quality] == Magic && [Flag] == identified && [MagicFind] == 4, StashItem:false, ItemToID:false  (06:20:26)
Sold Item:War Fist (ID:191) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [Flag] == ethereal && [MinDamage] == 66 && [MaxDamage] == 79 && [AttackRate] == -10 && [Durability] == 33 && [MaxDurability] == 33 && [MinDamage] == 93 && [MaxDamage] == 111 && [FireMinDamage] == 1 && [FireMaxDamage] == 11 && [AttackRate] == -10 && [Durability] == 33 && [MaxDurability] == 33 && [SingleSkill-Skillcloakofshadows] == 2 && [SingleSkill-Skillvenom] == 2, StashItem:false, ItemToID:false  (06:28:39)
Sold Item:War Fist (ID:191) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 44 && [MaxDamage] == 53 && [AttackRate] == -10 && [Durability] == 82 && [MaxDurability] == 128 && [AttackRating] == 295 && [MinDamage] == 44 && [MaxDamage] == 53 && [FireMinDamage] == 3 && [FireMaxDamage] == 7 && [AttackRate] == -10 && [Durability] == 82 && [MaxDurability] == 128 && [SingleSkill-Skillclawsofthunder] == 1, StashItem:false, ItemToID:false  (06:28:39)
Sold Item:Spiculum (ID:143) && [Type] == javelin && [Quality] == Rare && [Flag] == identified && [MinDamage] == 13 && [MaxDamage] == 38 && [AttackRate] == -20 && [Quantity] == 13 && [Durability] == 24 && [MaxDurability] == 48 && [ThrowMinDamage] == 32 && [ThrowMaxDamage] == 60 && [MinDamage] == 15 && [MaxDamage] == 44 && [PoisonMinDamage] == 15 && [PoisonMaxDamage] == 15 && [PoisonLength] == 4 && [LifeLeech] == 9 && [AttackRate] == -20 && [Quantity] == 13 && [Durability] == 24 && [MaxDurability] == 48 && [ManaAfterKill] == 5 && [ThrowMinDamage] == 37 && [ThrowMaxDamage] == 70 && [PoisonCount] == 1, StashItem:false, ItemToID:false  (06:36:33)
Sold Item:Jewel (ID:643) && [Type] == jewel && [Quality] == Magic && [Flag] == identified && [RequirementPercent] == -15, StashItem:false, ItemToID:false  (06:36:33)
Sold Item:Quhab (ID:182) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 11 && [MaxDamage] == 24 && [Durability] == 86 && [MaxDurability] == 96 && [MinDamage] == 28 && [MaxDamage] == 24 && [Durability] == 86 && [MaxDurability] == 96 && [MaxDamagePerLevel] == 4 && [AttackRatingPerLevel] == 33, StashItem:false, ItemToID:false  (06:40:04)
Sold Item:Battle Cestus (ID:192) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 36 && [MaxDamage] == 42 && [AttackRate] == 10 && [Durability] == 140 && [MaxDurability] == 144 && [MinDamage] == 36 && [MaxDamage] == 42 && [ManaLeech] == 8 && [AttackRate] == 10 && [Durability] == 140 && [MaxDurability] == 144 && [SingleSkill-Skilldragonflight] == 3 && [SingleSkill-Skillshadowmaster] == 2, StashItem:false, ItemToID:false  (06:40:04)
Sold Item:Claymore (ID:34) && [Type] == sword && [Quality] == Rare && [Flag] == identified && [MinDamage] == 5 && [MaxDamage] == 12 && [SecondMinDamage] == 13 && [SecMaxDamage] == 30 && [AttackRate] == -10 && [Durability] == 43 && [MaxDurability] == 50 && [AttackRating] == 102 && [MinDamage] == 7 && [MaxDamage] == 19 && [SecondMinDamage] == 18 && [SecMaxDamage] == 44 && [AttackRate] == -10 && [Durability] == 43 && [MaxDurability] == 50 && [UndeadDamagePercent] == 58 && [UndeadAttackRating] == 63, StashItem:false, ItemToID:false  (06:47:19)
Sold Item:Grand Charm (ID:605) && [Quality] == Magic && [Flag] == identified && [ManaMax] == 22, StashItem:false, ItemToID:false  (06:47:19)
Sold Item:Long Sword (ID:31) && [Type] == sword && [Quality] == Set && [Flag] == identified && [MinDamage] == 3 && [MaxDamage] == 19 && [AttackRate] == 10 && [Durability] == 24 && [MaxDurability] == 44 && [MinDamage] == 3 && [MaxDamage] == 19 && [AttackRate] == 10 && [Durability] == 24 && [MaxDurability] == 44 && [AttackRatingPercent] == 30 && [DeadlyStrike] == 50, StashItem:false, ItemToID:false  (06:50:56)
Sold Item:Small Charm (ID:603) && [Quality] == Magic && [Flag] == identified && [Strength] == 2, StashItem:false, ItemToID:false  (06:54:36)
Sold Item:Tusk Sword (ID:128) && [Type] == sword && [Quality] == Rare && [Flag] == identified && [MinDamage] == 10 && [MaxDamage] == 37 && [SecondMinDamage] == 19 && [SecMaxDamage] == 58 && [Durability] == 36 && [MaxDurability] == 50 && [AttackRating] == 28 && [MinDamage] == 19 && [MaxDamage] == 45 && [SecondMinDamage] == 30 && [SecMaxDamage] == 71 && [ColdResist] == 10 && [ManaLeech] == 8 && [Durability] == 36 && [MaxDurability] == 50 && [AddSkillTab-BarbarianCombatSkillTab] == 2, StashItem:false, ItemToID:false  (06:58:18)
Sold Item:Quhab (ID:182) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 11 && [MaxDamage] == 24 && [Durability] == 42 && [MaxDurability] == 48 && [MinDamage] == 11 && [MaxDamage] == 24 && [ManaLeech] == 8 && [Durability] == 42 && [MaxDurability] == 48 && [DemonDamagePercent] == 204 && [DemonAttackRating] == 353, StashItem:false, ItemToID:false  (06:58:18)
Sold Item:Feral Claws (ID:193) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 22 && [MaxDamage] == 53 && [AttackRate] == 20 && [Durability] == 26 && [MaxDurability] == 52 && [MinDamage] == 22 && [MaxDamage] == 53 && [ColdResist] == 22 && [AttackRate] == 20 && [Durability] == 26 && [MaxDurability] == 52 && [ItemChargedSkill] == 2821, StashItem:false, ItemToID:false  (07:04:41)
Sold Item:Wrist Blade (ID:176) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 5 && [MaxDamage] == 9 && [Durability] == 39 && [MaxDurability] == 52 && [MinDamage] == 19 && [MaxDamage] == 34 && [Durability] == 39 && [MaxDurability] == 52, StashItem:false, ItemToID:false  (07:04:42)
Sold Item:War Fist (ID:191) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 44 && [MaxDamage] == 53 && [AttackRate] == -10 && [Durability] == 36 && [MaxDurability] == 64 && [MinDamage] == 44 && [MaxDamage] == 53 && [AttackRate] == -10 && [Durability] == 36 && [MaxDurability] == 64 && [SingleSkill-Skilllightningsentry] == 1 && [SingleSkill-Skilldragonflight] == 1 && [MaxDamagePerLevel] == 6, StashItem:false, ItemToID:false  (07:07:50)
Sold Item:War Fist (ID:191) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 44 && [MaxDamage] == 53 && [AttackRate] == -10 && [Durability] == 34 && [MaxDurability] == 64 && [AttackRating] == 84 && [MinDamage] == 44 && [MaxDamage] == 53 && [AttackRate] == -10 && [Durability] == 34 && [MaxDurability] == 64 && [SingleSkill-Skilllightningsentry] == 1, StashItem:false, ItemToID:false  (07:15:14)
Sold Item:Small Charm (ID:603) && [Quality] == Magic && [Flag] == identified && [LightningMinDamage] == 1 && [LightningMaxDamage] == 6, StashItem:false, ItemToID:false  (07:15:14)
Sold Item:Kite Shield (ID:331) && [Type] == shield && [Quality] == Unique && [Flag] == identified && [ChanceToBlock] == 8 && [Defense] == 19 && [Durability] == 26 && [MaxDurability] == 30 && [ChanceToBlock] == 33 && [Defense] == 51 && [NormalDamageReduction] == 3 && [FireResist] == 15 && [LightningResist] == 15 && [ColdResist] == 15 && [PoisonResist] == 15 && [Durability] == 26 && [MaxDurability] == 50 && [AddClassSkills-AddPaladinSkills] == 1 && [LightRadius] == 3 && [FasterBlockRate] == 20, StashItem:false, ItemToID:false  (07:22:35)
Sold Item:Battle Cestus (ID:192) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 36 && [MaxDamage] == 42 && [AttackRate] == 10 && [Durability] == 51 && [MaxDurability] == 72 && [MinDamage] == 36 && [MaxDamage] == 42 && [AttackRate] == 10 && [Durability] == 51 && [MaxDurability] == 72 && [SingleSkill-Skilldragontail] == 2 && [SingleSkill-Skillbladesofice] == 2 && [ReplenishDurability] == 3, StashItem:false, ItemToID:false  (07:26:39)
Sold Item:Grand Charm (ID:605) && [Quality] == Magic && [Flag] == identified && [MaxDamage] == 3 && [SecMaxDamage] == 3 && [ThrowMaxDamage] == 3, StashItem:false, ItemToID:false  (07:33:57)
Sold Item:Wrist Blade (ID:176) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 5 && [MaxDamage] == 9 && [Durability] == 47 && [MaxDurability] == 52 && [MinDamage] == 7 && [MaxDamage] == 9 && [Durability] == 47 && [MaxDurability] == 52 && [AttackRatingPerLevel] == 12, StashItem:false, ItemToID:false  (07:45:43)
Sold Item:Greater Mana Potion (ID:595) && [Quality] == Normal && [Flag] == identified && , StashItem:false, ItemToID:false  (08:03:39)
Sold Item:War Axe (ID:4) && [Type] == axe && [Quality] == Magic && [Flag] == identified && [MinDamage] == 10 && [MaxDamage] == 18 && [Durability] == 21 && [MaxDurability] == 26 && [MinDamage] == 10 && [MaxDamage] == 63 && [PoisonMinDamage] == 8 && [PoisonMaxDamage] == 8 && [PoisonLength] == 2 && [Durability] == 21 && [MaxDurability] == 26 && [PoisonCount] == 1, StashItem:false, ItemToID:false  (08:10:44)
Sold Item:Throwing Spear (ID:51) && [Type] == javelin && [Quality] == Rare && [Flag] == identified && [Flag] == ethereal && [MinDamage] == 7 && [MaxDamage] == 22 && [AttackRate] == 10 && [Quantity] == 93 && [Durability] == 4 && [MaxDurability] == 4 && [ThrowMinDamage] == 18 && [ThrowMaxDamage] == 45 && [AttackRating] == 218 && [MinDamage] == 10 && [MaxDamage] == 32 && [PoisonResist] == 6 && [ManaLeech] == 5 && [AttackRate] == 10 && [Quantity] == 93 && [Durability] == 4 && [MaxDurability] == 4 && [IncreasedAttackSpeed] == 20 && [ThrowMinDamage] == 26 && [ThrowMaxDamage] == 65 && [SkillOnAttack] == 5, StashItem:false, ItemToID:false  (08:14:44)
Sold Item:Suwayyah (ID:189) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 39 && [MaxDamage] == 52 && [Durability] == 45 && [MaxDurability] == 48 && [MinDamage] == 49 && [MaxDamage] == 66 && [Durability] == 45 && [MaxDurability] == 48 && [SingleSkill-Skilllightningsentry] == 1 && [SingleSkill-Skillwakeofinferno] == 1 && [SingleSkill-Skillshadowmaster] == 2, StashItem:false, ItemToID:false  (08:14:44)
Sold Item:Wrist Blade (ID:176) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [Flag] == ethereal && [MinDamage] == 7 && [MaxDamage] == 13 && [Durability] == 27 && [MaxDurability] == 27 && [MinDamage] == 18 && [MaxDamage] == 33 && [Durability] == 27 && [MaxDurability] == 27, StashItem:false, ItemToID:false  (08:18:24)
Sold Item:Cestus (ID:178) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 7 && [MaxDamage] == 15 && [Durability] == 69 && [MaxDurability] == 72 && [MinDamage] == 9 && [MaxDamage] == 15 && [Durability] == 69 && [MaxDurability] == 72, StashItem:false, ItemToID:false  (08:18:25)
Sold Item:Jewel (ID:643) && [Type] == jewel && [Quality] == Magic && [Flag] == identified && [Defense] == 5 && [FireMinDamage] == 9 && [FireMaxDamage] == 29, StashItem:false, ItemToID:false  (08:32:37)
Sold Item:Wrist Blade (ID:176) && [Type] == assassinclaw && [Quality] == Rare && [Flag] == identified && [MinDamage] == 5 && [MaxDamage] == 9 && [Durability] == 44 && [MaxDurability] == 52 && [MinDamage] == 5 && [MaxDamage] == 16 && [Durability] == 44 && [MaxDurability] == 52 && [SkillOnAttack] == 5 && [MaxDamagePerLevel] == 4 && [AttackRatingPerLevel] == 33, StashItem:false, ItemToID:false  (08:36:33)
Sold Item:Suwayyah (ID:189) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 39 && [MaxDamage] == 52 && [Durability] == 35 && [MaxDurability] == 48 && [MinDamage] == 39 && [MaxDamage] == 93 && [Durability] == 35 && [MaxDurability] == 48 && [SingleSkill-Skillchargedboltsentry] == 2 && [SingleSkill-Skillwakeofinferno] == 3 && [SingleSkill-Skilldragonflight] == 2, StashItem:false, ItemToID:false  (08:36:33)
Sold Item:War Javelin (ID:140) && [Type] == javelin && [Quality] == Rare && [Flag] == identified && [MinDamage] == 6 && [MaxDamage] == 19 && [AttackRate] == 10 && [Quantity] == 61 && [Durability] == 5 && [MaxDurability] == 10 && [ThrowMinDamage] == 14 && [ThrowMaxDamage] == 32 && [MinDamage] == 17 && [MaxDamage] == 36 && [AttackRate] == 10 && [Quantity] == 61 && [Durability] == 5 && [MaxDurability] == 10 && [ThrowMinDamage] == 33 && [ThrowMaxDamage] == 62 && [SkillOnAttack] == 10 && [ExtraStack] == 37, StashItem:false, ItemToID:false  (09:11:13)
Sold Item:Hatchet Hands (ID:177) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 2 && [MaxDamage] == 15 && [AttackRate] == -10 && [Durability] == 58 && [MaxDurability] == 112 && [Strength] == 9 && [AttackRating] == 13 && [MinDamage] == 2 && [MaxDamage] == 15 && [AttackRate] == -10 && [Durability] == 58 && [MaxDurability] == 112, StashItem:false, ItemToID:false  (09:11:13)
Sold Item:Small Charm (ID:603) && [Quality] == Magic && [Flag] == identified && [Strength] == 2 && [AttackRating] == 14, StashItem:false, ItemToID:false  (09:14:56)
Sold Item:Cryptic Sword (ID:227) && [Type] == sword && [Quality] == Magic && [Flag] == identified && [MinDamage] == 5 && [MaxDamage] == 77 && [AttackRate] == 10 && [Durability] == 33 && [MaxDurability] == 44 && [MinDamage] == 5 && [MaxDamage] == 77 && [FireMinDamage] == 4 && [FireMaxDamage] == 11 && [AttackRate] == 10 && [Durability] == 33 && [MaxDurability] == 44, StashItem:false, ItemToID:false  (09:21:26)
Sold Item:Pilum (ID:48) && [Type] == javelin && [Quality] == Rare && [Flag] == identified && [MinDamage] == 4 && [MaxDamage] == 9 && [Quantity] == 48 && [Durability] == 3 && [MaxDurability] == 9 && [ThrowMinDamage] == 7 && [ThrowMaxDamage] == 20 && [AttackRating] == 297 && [MinDamage] == 6 && [MaxDamage] == 14 && [LifeLeech] == 4 && [Quantity] == 48 && [Durability] == 3 && [MaxDurability] == 9 && [IncreasedAttackSpeed] == 20 && [ThrowMinDamage] == 10 && [ThrowMaxDamage] == 31, StashItem:false, ItemToID:false  (09:21:55)
Sold Item:Fascia (ID:184) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 8 && [MaxDamage] == 37 && [AttackRate] == -10 && [Durability] == 102 && [MaxDurability] == 128 && [MinDamage] == 8 && [MaxDamage] == 37 && [ManaLeech] == 9 && [AttackRate] == -10 && [Durability] == 102 && [MaxDurability] == 128, StashItem:false, ItemToID:false  (09:21:55)
Sold Item:Claymore (ID:34) && [Type] == sword && [Quality] == Rare && [Flag] == identified && [MinDamage] == 5 && [MaxDamage] == 12 && [SecondMinDamage] == 13 && [SecMaxDamage] == 30 && [AttackRate] == -10 && [Durability] == 44 && [MaxDurability] == 50 && [MinDamage] == 7 && [MaxDamage] == 19 && [SecondMinDamage] == 19 && [SecMaxDamage] == 46 && [LightningMinDamage] == 1 && [LightningMaxDamage] == 30 && [PoisonMinDamage] == 11 && [PoisonMaxDamage] == 11 && [PoisonLength] == 3 && [ManaLeech] == 4 && [AttackRate] == -10 && [Durability] == 44 && [MaxDurability] == 50 && [PoisonCount] == 1, StashItem:false, ItemToID:false  (09:29:33)
Sold Item:Small Charm (ID:603) && [Quality] == Unique && [Flag] == identified && [Strength] == 20 && [Energy] == 20 && [Dexterity] == 20 && [Vitality] == 20 && [FireResist] == 10 && [LightningResist] == 10 && [ColdResist] == 10 && [PoisonResist] == 10 && [AddExperience] == 10 && [AllSkills] == 1, StashItem:false, ItemToID:false  (09:32:44)
Sold Item:Battle Cestus (ID:192) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 36 && [MaxDamage] == 42 && [AttackRate] == 10 && [Durability] == 74 && [MaxDurability] == 144 && [MinDamage] == 36 && [MaxDamage] == 43 && [AttackRate] == 10 && [Durability] == 74 && [MaxDurability] == 144, StashItem:false, ItemToID:false  (09:51:18)
Sold Item:Small Charm (ID:603) && [Quality] == Magic && [Flag] == identified && [FireMinDamage] == 3 && [FireMaxDamage] == 8, StashItem:false, ItemToID:false  (09:51:19)
Sold Item:Circlet (ID:418) && [Type] == circlet && [Quality] == Magic && [Flag] == identified && [Defense] == 24 && [Durability] == 18 && [MaxDurability] == 35 && [Defense] == 24 && [Durability] == 18 && [MaxDurability] == 35 && [ManaPerLevel] == 6, StashItem:false, ItemToID:false  (09:57:47)
Sold Item:Jewel (ID:643) && [Type] == jewel && [Quality] == Magic && [Flag] == identified && [Energy] == 1, StashItem:false, ItemToID:false  (10:01:19)
Sold Item:Wrist Blade (ID:176) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 5 && [MaxDamage] == 9 && [Durability] == 33 && [MaxDurability] == 52 && [MinDamage] == 23 && [MaxDamage] == 9 && [Durability] == 33 && [MaxDurability] == 52, StashItem:false, ItemToID:false  (10:04:46)
